episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
113,-70.95000000000005,80,0.05,0,50,0.07,0.03,0.672566371681416,80,0.0,4.705882352941177
114,248.65,47,0.05,1,50,0.07,0.03,0.6754385964912281,48,0.0,2.823529411764706
115,246.35,93,0.05,1,50,0.07,0.03,0.6782608695652174,94,0.0,5.529411764705882
116,-57.449999999999896,50,0.05,0,50,0.07,0.03,0.6724137931034483,50,0.0,2.1739130434782608
117,368.6499999999992,127,0.05,1,50,0.07,0.03,0.6752136752136753,128,0.015625,1.9692307692307693
118,-7.5499999999999545,372,0.05,0,50,0.07,0.03,0.6694915254237288,372,0.0,7.75
119,335.50000000000006,50,0.05,1,50,0.07,0.03,0.6722689075630253,51,0.0,1.108695652173913
120,-81.40000000000012,229,0.05,0,50,0.07,0.03,0.6666666666666666,229,0.0,8.178571428571429
121,272.95000000000016,81,0.05,1,50,0.07,0.03,0.6694214876033058,82,0.012195121951219513,2.8275862068965516
122,308.2500000000001,55,0.05,1,50,0.07,0.03,0.6721311475409836,56,0.0,1.5135135135135136
123,251.35000000000028,113,0.05,1,50,0.07,0.03,0.6747967479674797,114,0.0,6.0
124,338.95000000000016,81,0.05,1,50,0.07,0.03,0.6774193548387096,82,0.012195121951219513,1.607843137254902
125,366.7499999999988,165,0.05,1,50,0.07,0.03,0.68,166,0.012048192771084338,2.5538461538461537
126,8.400000000000048,113,0.05,0,50,0.07,0.03,0.6746031746031746,113,0.0,2.3541666666666665
127,393.4499999999998,71,0.05,1,50,0.07,0.03,0.6771653543307087,72,0.013888888888888888,1.0434782608695652
128,278.2000000000004,156,0.05,1,50,0.07,0.03,0.6796875,157,0.006369426751592357,4.90625
129,287.30000000000007,54,0.05,1,50,0.07,0.03,0.6821705426356589,55,0.0,1.8333333333333333
130,370.54999999999734,289,0.05,1,50,0.07,0.03,0.6846153846153846,290,0.0034482758620689655,4.461538461538462
131,256.05,19,0.05,1,50,0.07,0.03,0.6870229007633588,20,0.0,1.0526315789473684
132,-3.9999999999988303,1000,0.05,0,50,0.07,0.03,0.6818181818181818,1001,0.001998001998001998,38.5
133,-150.39999999999952,369,0.05,0,50,0.07,0.03,0.6766917293233082,369,0.013550135501355014,33.54545454545455
134,-69.04999999999995,42,0.05,0,50,0.07,0.03,0.6716417910447762,42,0.0,1.5
135,341.79999999999995,124,0.05,1,50,0.07,0.03,0.674074074074074,125,0.016,2.232142857142857
136,286.3000000000005,194,0.05,1,50,0.07,0.03,0.6764705882352942,195,0.0,6.09375
137,231.74999999999994,65,0.05,1,50,0.07,0.03,0.6788321167883211,66,0.015151515151515152,4.4
138,7.300000000000438,175,0.05,0,50,0.07,0.03,0.6739130434782609,175,0.005714285714285714,3.125
139,380.74999999999966,85,0.05,1,50,0.07,0.03,0.6762589928057554,86,0.011627906976744186,1.323076923076923
140,-535.6000000000015,193,0.05,0,50,0.07,0.03,0.6714285714285714,193,0.23316062176165803,12.866666666666667
141,271.50000000000017,90,0.05,1,50,0.07,0.03,0.6737588652482269,91,0.02197802197802198,2.84375
142,324.15000000000043,177,0.05,1,50,0.07,0.03,0.676056338028169,178,0.011235955056179775,3.4901960784313726
143,307.25000000000017,75,0.05,1,50,0.07,0.03,0.6783216783216783,76,0.0,2.054054054054054
144,307.6000000000001,48,0.05,1,50,0.07,0.03,0.6805555555555556,49,0.02040816326530612,1.225
145,-49.84999999999999,18,0.05,0,50,0.07,0.03,0.6758620689655173,18,0.0,0.782608695652174
146,337.3999999999998,132,0.05,1,50,0.07,0.03,0.678082191780822,133,0.0,2.7708333333333335
147,-102.19999999999999,45,0.05,0,50,0.07,0.03,0.673469387755102,45,0.0,1.5517241379310345
148,-101.4,29,0.05,0,50,0.07,0.03,0.668918918918919,29,0.0,1.0357142857142858
149,16.10000000000072,279,0.05,0,50,0.07,0.03,0.6644295302013423,279,0.007168458781362007,4.982142857142857
150,381.54999999999984,69,0.05,1,50,0.07,0.03,0.6666666666666666,70,0.014285714285714285,1.0769230769230769
151,267.75,25,0.05,1,50,0.07,0.03,0.6688741721854304,26,0.0,1.1304347826086956
152,205.79999999999998,4,0.05,1,50,0.07,0.03,0.6710526315789473,5,0.0,2.5
153,298.55000000000086,329,0.05,1,50,0.07,0.03,0.673202614379085,330,0.006060606060606061,7.333333333333333
154,-51.04999999999993,42,0.05,0,50,0.07,0.03,0.6688311688311688,42,0.0,1.5
155,308.00000000000006,40,0.05,1,50,0.07,0.03,0.6709677419354839,41,0.024390243902439025,1.025
