episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
118,16.000000000000156,1000,0.05,0,50,0.07,0.03,0.059322033898305086,1001,0.002997002997002997,15.88888888888889
119,-101.9999999999988,1000,0.05,0,50,0.07,0.03,0.058823529411764705,1001,0.003996003996003996,166.83333333333334
120,-83.30000000000001,27,0.05,0,50,0.07,0.03,0.058333333333333334,27,0.0,0.9642857142857143
121,-2300.0000000000027,1000,0.05,0,50,0.07,0.03,0.05785123966942149,1001,0.21878121878121878,143.0
122,-3340.0000000000355,1000,0.05,0,50,0.07,0.03,0.05737704918032787,1001,0.33166833166833165,37.074074074074076
123,-4474.000000000119,1000,0.05,0,50,0.07,0.03,0.056910569105691054,1001,0.44655344655344653,23.833333333333332
124,-107.9999999999974,1000,0.05,0,50,0.07,0.03,0.056451612903225805,1001,0.003996003996003996,40.04
125,-154.7499999999998,196,0.05,0,50,0.07,0.03,0.056,196,0.015306122448979591,4.558139534883721
126,-2956.00000000001,1000,0.05,0,50,0.07,0.03,0.05555555555555555,1001,0.29270729270729273,16.966101694915253
127,-4708.000000000091,1000,0.05,0,50,0.07,0.03,0.05511811023622047,1001,0.46653346653346656,17.25862068965517
128,-2593.999999999975,1000,0.05,0,50,0.07,0.03,0.0546875,1001,0.25574425574425574,23.833333333333332
129,117.80000000000085,324,0.05,1,50,0.07,0.03,0.06201550387596899,325,0.027692307692307693,40.625
130,-131.8,37,0.05,0,50,0.07,0.03,0.06153846153846154,37,0.0,4.111111111111111
131,-112.85,78,0.05,0,50,0.07,0.03,0.061068702290076333,78,0.0,15.6
132,-80.64999999999976,274,0.05,0,50,0.07,0.03,0.06060606060606061,274,0.0,8.303030303030303
133,211.69999999999987,606,0.05,1,50,0.07,0.03,0.06766917293233082,607,0.0,43.357142857142854
134,-759.9999999999677,1000,0.05,0,50,0.07,0.03,0.06716417910447761,1001,0.07792207792207792,23.833333333333332
135,-71.99999999999875,1000,0.05,0,50,0.07,0.03,0.06666666666666667,1001,0.006993006993006993,17.25862068965517
136,-21.99999999999835,1000,0.05,0,50,0.07,0.03,0.0661764705882353,1001,0.01098901098901099,19.25
137,-1589.999999999984,1000,0.05,0,50,0.07,0.03,0.06569343065693431,1001,0.16283716283716285,15.166666666666666
138,-117.70000000000007,115,0.05,0,50,0.07,0.03,0.06521739130434782,115,0.0,8.214285714285714
139,-71.99999999999872,1000,0.05,0,50,0.07,0.03,0.06474820143884892,1001,0.000999000999000999,71.5
140,-116.60000000000002,93,0.05,0,50,0.07,0.03,0.06428571428571428,93,0.0,6.642857142857143
141,-212.00000000000907,1000,0.05,0,50,0.07,0.03,0.06382978723404255,1001,0.02097902097902098,41.708333333333336
142,-1155.9999999999818,1000,0.05,0,50,0.07,0.03,0.06338028169014084,1001,0.12487512487512488,16.966101694915253
143,-36.00000000000029,1000,0.05,0,50,0.07,0.03,0.06293706293706294,1001,0.000999000999000999,45.5
144,-234.00000000000824,1000,0.05,0,50,0.07,0.03,0.0625,1001,0.01898101898101898,15.166666666666666
145,158.25000000000114,735,0.05,1,50,0.07,0.03,0.06896551724137931,736,0.002717391304347826,147.2
146,-67.99999999999956,1000,0.05,0,50,0.07,0.03,0.0684931506849315,1001,0.002997002997002997,37.074074074074076
147,-123.99999999999868,1000,0.05,0,50,0.07,0.03,0.06802721088435375,1001,0.007992007992007992,35.75
148,-55.99999999999834,1000,0.05,0,50,0.07,0.03,0.06756756756756757,1001,0.002997002997002997,37.074074074074076
149,-83.99999999999778,1000,0.05,0,50,0.07,0.03,0.06711409395973154,1001,0.003996003996003996,71.5
150,-113.99999999999828,1000,0.05,0,50,0.07,0.03,0.06666666666666667,1001,0.006993006993006993,35.75
151,-201.89999999999955,279,0.05,0,50,0.07,0.03,0.06622516556291391,279,0.014336917562724014,31.0
152,-1835.999999999973,1000,0.05,0,50,0.07,0.03,0.06578947368421052,1001,0.17482517482517482,37.074074074074076
153,-117.9999999999984,1000,0.05,0,50,0.07,0.03,0.06535947712418301,1001,0.007992007992007992,35.75
154,-965.9999999999685,1000,0.05,0,50,0.07,0.03,0.06493506493506493,1001,0.09090909090909091,16.14516129032258
155,-90.39999999999999,289,0.05,0,50,0.07,0.03,0.06451612903225806,289,0.01384083044982699,6.880952380952381
156,-67.99999999999886,1000,0.05,0,50,0.07,0.03,0.0641025641025641,1001,0.008991008991008992,22.75
157,-144.00000000000088,1000,0.05,0,50,0.07,0.03,0.06369426751592357,1001,0.00999000999000999,47.666666666666664
158,-154.0000000000012,1000,0.05,0,50,0.07,0.03,0.06329113924050633,1001,0.007992007992007992,40.04
159,-56.39999999999886,609,0.05,0,50,0.07,0.03,0.06289308176100629,609,0.008210180623973728,14.5
160,-37.99999999999914,1000,0.05,0,50,0.07,0.03,0.0625,1001,0.0,71.5
161,-121.99999999999774,1000,0.05,0,50,0.07,0.03,0.062111801242236024,1001,0.005994005994005994,15.166666666666666
162,-89.99999999999751,1000,0.05,0,50,0.07,0.03,0.06172839506172839,1001,0.000999000999000999,111.22222222222223
163,-268.00000000000836,1000,0.05,0,50,0.07,0.03,0.06134969325153374,1001,0.028971028971028972,19.25
164,-75.99999999999949,1000,0.05,0,50,0.07,0.03,0.06097560975609756,1001,0.004995004995004995,35.75
165,-148.0000000000025,1000,0.05,0,50,0.07,0.03,0.06060606060606061,1001,0.007992007992007992,40.04
166,-292.00000000000705,1000,0.05,0,50,0.07,0.03,0.060240963855421686,1001,0.016983016983016984,166.83333333333334
167,-103.99999999999842,1000,0.05,0,50,0.07,0.03,0.059880239520958084,1001,0.002997002997002997,200.2
168,-112.40000000000006,169,0.05,0,50,0.07,0.03,0.05952380952380952,169,0.005917159763313609,3.9302325581395348
