episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
184,685.7999999999994,84,0.05,1,50,0.1,0.05,0.5706521739130435,85,0.0,2.236842105263158,0.0
185,-24.999999999999947,300,0.05,0,50,0.1,0.05,0.5675675675675675,301,0.04983388704318937,4.854838709677419,2760.451416015625
186,524.75,5,0.05,1,50,0.1,0.05,0.5698924731182796,6,0.0,1.2,0.0
187,516.75,165,0.05,1,50,0.1,0.05,0.5721925133689839,166,0.0,33.2,0.0
188,-105.25,6,0.05,0,50,0.1,0.05,0.5691489361702128,6,0.16666666666666666,0.09836065573770492,0.0
189,-100,1,0.05,0,50,0.1,0.05,0.5661375661375662,1,1.0,0.01639344262295082,0.0
190,-24.99999999999998,300,0.05,0,50,0.1,0.05,0.5631578947368421,301,0.009966777408637873,12.04,59.71437454223633
191,134.99999999999793,300,0.05,0,50,0.1,0.05,0.5602094240837696,301,0.0033222591362126247,4.934426229508197,0.0
192,621.9000000000004,162,0.05,1,50,0.1,0.05,0.5625,163,0.006134969325153374,5.433333333333334,0.0
193,134.99999999999704,300,0.05,0,50,0.1,0.05,0.5595854922279793,301,0.006644518272425249,3.810126582278481,0.0
194,114.99999999999775,300,0.05,0,50,0.1,0.05,0.5567010309278351,301,0.0033222591362126247,4.854838709677419,0.0
195,747.3999999999997,52,0.05,1,50,0.1,0.05,0.558974358974359,53,0.0,1.06,156.95191955566406
196,-15.000000000000025,300,0.05,0,50,0.1,0.05,0.5561224489795918,301,0.0,33.44444444444444,0.0
197,-39.649999999999764,94,0.05,0,50,0.1,0.05,0.5532994923857868,94,0.0,2.186046511627907,0.0
198,632.0000000000005,160,0.05,1,50,0.1,0.05,0.5555555555555556,161,0.0,5.75,0.0
199,-71.30000000000001,27,0.05,0,50,0.1,0.05,0.5527638190954773,27,0.0,0.675,0.0
200,134.9999999999974,300,0.05,0,50,0.1,0.05,0.55,301,0.0033222591362126247,7.717948717948718,2721.781494140625
201,75.00000000000043,300,0.05,0,50,0.1,0.05,0.5472636815920398,301,0.009966777408637873,8.135135135135135,0.0
202,-70.80000000000001,17,0.05,0,50,0.1,0.05,0.5445544554455446,17,0.0,0.425,0.0
203,124.99999999999734,300,0.05,0,50,0.1,0.05,0.541871921182266,301,0.0,6.688888888888889,0.0
204,65.0000000000003,300,0.05,0,50,0.1,0.05,0.5392156862745098,301,0.009966777408637873,4.934426229508197,0.0
205,75.00000000000065,300,0.05,0,50,0.1,0.05,0.5365853658536586,301,0.009966777408637873,6.688888888888889,5202.673828125
206,584.15,17,0.05,1,50,0.1,0.05,0.5388349514563107,18,0.0,1.0588235294117647,0.0
207,45.000000000000625,300,0.05,0,50,0.1,0.05,0.5362318840579711,301,0.0033222591362126247,16.72222222222222,0.0
208,765.2499999999982,195,0.05,1,50,0.1,0.05,0.5384615384615384,196,0.00510204081632653,3.3220338983050848,0.0
209,65.00000000000082,300,0.05,0,50,0.1,0.05,0.5358851674641149,301,0.0,16.72222222222222,0.0
210,75.00000000000082,300,0.05,0,50,0.1,0.05,0.5333333333333333,301,0.0033222591362126247,10.033333333333333,2724.64501953125
211,628.8000000000006,224,0.05,1,50,0.1,0.05,0.5355450236966824,225,0.0,8.035714285714286,0.0
212,584.15,17,0.05,1,50,0.1,0.05,0.5377358490566038,18,0.0,1.0588235294117647,0.0
213,692.8499999999999,43,0.05,1,50,0.1,0.05,0.539906103286385,44,0.0,1.1282051282051282,0.0
214,621.2500000000002,75,0.05,1,50,0.1,0.05,0.5420560747663551,76,0.0,3.04,0.0
215,733.4499999999978,231,0.05,1,50,0.1,0.05,0.5441860465116279,232,0.0,4.73469387755102,47.065731048583984
216,75.00000000000081,300,0.05,0,50,0.1,0.05,0.5416666666666666,301,0.0033222591362126247,7.717948717948718,0.0
217,-54.74999999999956,196,0.05,0,50,0.1,0.05,0.5391705069124424,196,0.0,3.769230769230769,0.0
218,524.65,7,0.05,1,50,0.1,0.05,0.5412844036697247,8,0.0,1.6,0.0
219,515.25,195,0.05,1,50,0.1,0.05,0.54337899543379,196,0.0,39.2,0.0
220,174.99999999999702,300,0.05,0,50,0.1,0.05,0.5409090909090909,301,0.006644518272425249,6.840909090909091,79.10942077636719
221,692.8499999999999,43,0.05,1,50,0.1,0.05,0.5429864253393665,44,0.0,1.1282051282051282,0.0
222,569.1,18,0.05,1,50,0.1,0.05,0.545045045045045,19,0.0,1.3571428571428572,0.0
223,134.99999999999778,300,0.05,0,50,0.1,0.05,0.5426008968609866,301,0.0,6.688888888888889,0.0
224,-43.849999999999646,178,0.05,0,50,0.1,0.05,0.5401785714285714,178,0.0,7.12,0.0
225,144.99999999999693,300,0.05,0,50,0.1,0.05,0.5377777777777778,301,0.0,6.688888888888889,51.39260482788086
226,569.2,16,0.05,1,50,0.1,0.05,0.5398230088495575,17,0.0,1.2142857142857142,0.0
227,-16.49999999999966,131,0.05,0,50,0.1,0.05,0.5374449339207048,131,0.007633587786259542,2.911111111111111,0.0
228,654.9499999999988,201,0.05,1,50,0.1,0.05,0.5394736842105263,202,0.0049504950495049506,5.45945945945946,0.0
229,747.4999999999998,50,0.05,1,50,0.1,0.05,0.5414847161572053,51,0.0,1.02,0.0
230,676.0499999999992,179,0.05,1,50,0.1,0.05,0.5434782608695652,180,0.0,4.864864864864865,79.25541687011719
231,114.99999999999952,300,0.05,0,50,0.1,0.05,0.5411255411255411,301,0.009966777408637873,3.810126582278481,0.0
232,724.8499999999998,203,0.05,1,50,0.1,0.05,0.5431034482758621,204,0.0,4.340425531914893,0.0
233,777.6999999999975,246,0.05,1,50,0.1,0.05,0.5450643776824035,247,0.004048582995951417,3.9838709677419355,0.0
234,679.5499999999992,109,0.05,1,50,0.1,0.05,0.5470085470085471,110,0.0,2.972972972972973,0.0
235,174.99999999999707,300,0.05,0,50,0.1,0.05,0.5446808510638298,301,0.0033222591362126247,6.840909090909091,2597.232421875
236,687.6499999999987,147,0.05,1,50,0.1,0.05,0.5466101694915254,148,0.0,3.7948717948717947,0.0
237,722.3499999999998,53,0.05,1,50,0.1,0.05,0.5485232067510548,54,0.018518518518518517,1.1020408163265305,0.0
238,174.99999999999702,300,0.05,0,50,0.1,0.05,0.5462184873949579,301,0.0033222591362126247,6.840909090909091,0.0
239,294.99999999999693,300,0.05,0,50,0.1,0.05,0.5439330543933054,301,0.0033222591362126247,3.7160493827160495,0.0
240,574.25,15,0.05,1,50,0.1,0.05,0.5458333333333333,16,0.0,1.0666666666666667,55.13217544555664
241,124.99999999999865,300,0.05,0,50,0.1,0.05,0.5435684647302904,301,0.0,7.525,0.0
242,194.9999999999971,300,0.05,0,50,0.1,0.05,0.5413223140495868,301,0.0,6.688888888888889,0.0
243,634.6499999999991,207,0.05,1,50,0.1,0.05,0.5432098765432098,208,0.004807692307692308,6.303030303030303,0.0
